Index;T_s;X;Y;Z;Unit_Pos
0;0.0000;-481.219500;2224.007000;-1350.301000;mm
1;0.5000;-481.182800;2224.007000;-1350.300000;mm
2;1.0000;-481.147800;2224.007000;-1350.301000;mm
3;1.5000;-481.113700;2224.007000;-1350.301000;mm
4;2.0000;-481.079800;2224.007000;-1350.301000;mm
5;2.5000;-481.045700;2224.007000;-1350.301000;mm
6;3.0000;-481.010200;2224.007000;-1350.301000;mm
7;3.5000;-480.973000;2208.097000;-1350.303000;mm
8;4.0000;-480.946500;2067.851000;-1350.321000;mm
9;4.5000;-480.927200;1918.195000;-1350.339000;mm
10;5.0000;-480.909100;1858.537000;-1350.347000;mm
11;5.5000;-480.890700;1857.796000;-1548.681000;mm
12;6.0000;-480.870500;1857.807000;-1785.058000;mm
13;6.5000;-480.835400;1857.810000;-1808.965000;mm
14;7.0000;-480.801100;1857.810000;-1809.235000;mm
15;7.5000;-480.764600;1857.810000;-1809.274000;mm
